"アルバム名","曲名","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","戦地に響く笛の音","3","34","0","147427","67.741","4","7","1","0.291","0.282","0.462","0.00125","0.324","-9.944","0.0342","0.232"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","竜馬、草原をゆく","3","35","0","62467","152.65","3","7","1","0.00628","0.361","0.287","0.494","0.239","-11.884","0.0377","0.152"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","ゴドウィンの兵たち","3","36","0","85960","155.889","4","4","0","0.105","0.538","0.342","0.832","0.0757","-18.576","0.0464","0.741"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","凱歌","3","37","0","155973","87.611","3","4","0","0.0671","0.413","0.517","0.56","0.0848","-9.451","0.0307","0.14"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","黎明の城","3","38","0","211947","102.047","3","9","0","0.191","0.467","0.455","0.508","0.307","-9.162","0.0265","0.324"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","魅惑の紋章師","3","39","0","119480","110.435","4","3","0","0.107","0.245","0.281","0.192","0.0454","-12.917","0.0355","0.16"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","迷宮彷徨","3","40","0","121387","84.742","5","6","0","0.955","0.191","0.106","0.955","0.0868","-17.995","0.0341","0.0514"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","地中に封印された街","3","41","0","115093","158.247","4","11","0","0.877","0.359","0.227","0.908","0.113","-20.962","0.0316","0.27"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","悲愴な願い","4","1","0","199827","94.999","3","6","0","0.501","0.537","0.54","0.94","0.129","-11.308","0.0289","0.529"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","闇に哭する光","4","2","1","191960","182.009","3","11","0","0.987","0.55","0.0913","0.894","0.103","-18.755","0.063","0.188"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","アーメス新王国","4","3","0","99653","95.01","4","0","1","0.56","0.6","0.451","0.896","0.125","-12.054","0.0245","0.899"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","舞踏狂詩曲","4","4","0","194093","159.952","4","5","1","3.1e-05","0.552","0.858","0.867","0.108","-11.177","0.0803","0.604"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","陥落","4","5","0","121760","95.043","4","9","0","0.288","0.446","0.459","0.934","0.759","-9.322","0.0276","0.545"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","決戦前夜 ~月夜のテーマ~","4","6","0","288560","135.851","4","10","1","0.862","0.161","0.274","0.939","0.089","-11.929","0.0343","0.0408"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","やすらぎ","4","7","0","83733","101.548","4","0","1","0.949","0.662","0.128","0.963","0.104","-14.771","0.0873","0.602"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","月夜に響く笛の音","4","8","0","85280","133.219","4","10","1","0.995","0.389","0.0649","0.92","0.268","-13.672","0.0857","0.611"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","ソルファレナ奪還戦","4","9","0","125347","90.019","3","2","1","0.365","0.328","0.424","0.177","0.599","-8.177","0.0283","0.113"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","怒涛","4","10","0","153013","151.638","4","9","0","0.371","0.246","0.74","0.43","0.174","-10.457","0.0514","0.514"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","宿命の対決","4","11","0","189347","138.008","4","7","1","0.297","0.4","0.397","0.717","0.0485","-11.598","0.0582","0.187"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","破壊の傷痕","4","12","0","243493","140.046","4","7","1","0.866","0.535","0.153","0.981","0.0963","-17.492","0.0343","0.478"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","禊ぎの泉","4","13","0","118253","79.987","1","9","0","0.884","0.556","0.255","0.824","0.0905","-17.951","0.0493","0.284"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","始祖の大地","4","14","0","114867","78.825","4","7","1","0.869","0.196","0.289","0.963","0.0696","-14.514","0.0349","0.0367"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","雪と氷に閉ざされた遺跡","4","15","0","105640","60.08","4","2","0","0.0381","0.226","0.193","0.298","0.183","-12.249","0.0368","0.0383"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","発動","4","16","0","140680","101.758","3","4","0","0.642","0.165","0.205","0.94","0.104","-17.213","0.0342","0.0338"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","最終決着","4","17","0","238533","96.963","3","2","1","0.00992","0.335","0.502","0.696","0.156","-10.914","0.0299","0.179"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","一人旅","4","18","0","164253","85.036","4","9","0","0.956","0.118","0.166","0.922","0.102","-17.351","0.0379","0.0398"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","この道をゆく","4","19","0","283307","88.56","3","0","1","0.925","0.138","0.205","0.797","0.353","-12.55","0.0326","0.0602"
"幻想水滸伝V ORIGINAL SOUNDTRACK SELECTION","新たな旅立ち","4","20","0","36027","71.636","1","0","1","0.927","0.209","0.502","0.634","0.132","-8.746","0.0352","0.115"
